com_av,libelle_av,com_ap,libelle_ap
08294,La Moncelle,08053,Bazeilles
14139,Carville,14061,Souleuvre en Bocage
14671,Sept-Frères,14658,Noues de Sienne
20021,Argiusta-Moriccio,2A021,Argiusta-Moriccio
20276,Serra-di-Ferro,2A276,Serra-di-Ferro
20358,Zévaco,2A358,Zévaco
25399,Montfort,25460,Le Val
27236,Faverolles-les-Mares,27106,Bournainville-Faverolles
28340,Saint-Hilaire-sur-Yerre,28103,Cloyes-les-Trois-Rivières
35301,Saint-M'Hervon,35184,Montauban-de-Bretagne
38312,Pommiers-la-Placette,38407,La Sure en Chartreuse
39524,Tancua,39367,Morbier
42190,Rochetaillée,42218,Saint-Étienne
48047,La Chaze-de-Peyre,48009,Peyre en Aubrac
49285,Saint-Germain-sur-Moine,49301,Sèvremoine
52035,Hauts-de-Vingeanne,52035,Baissey
52152,Couzon-sur-Coulange,52405,Le Montsaugeonnais
53166,Niort-la-Fontaine,53127,Lassay-les-Châteaux
55187,Flabas,55341,Moirey-Flabas-Crépion
59245,Forenville,59567,Séranvillers-Forenville
61306,Neuville-près-Sées,61081,Chailloué
61353,Ronfeugerai,61007,Athis-Val de Rouvre
61368,Saint-Aubin-des-Grois,61309,Perche en Nocé
67064,Bremmelbach,67074,Cleebourg
67518,Wangenbourg,67122,Wangenbourg-Engenthal
75015,Bry-sur-Marne,94015,Bry-sur-Marne
75032,Fontenay-aux-Roses,92032,Fontenay-aux-Roses
78112,Brouy,91112,Brouy
78127,Cergy,95127,Cergy
78330,Lardy,91330,Lardy
78662,Villeconin,91662,Villeconin
85253,Saint-Médard-des-Prés,85092,Fontenay-le-Comte
88396,Roncourt,88227,Hagnéville-et-Roncourt
89301,Plessis-du-Mée,89469,Perceneige
02045,Barbonval,02439,Longueval-Barbonval
02394,Jouy,02008,Aizy-Jouy
14156,Chênedollé,14726,Valdallière
14507,Pleines-Œuvres,50592,Tessy-Bocage
14642,Saint-Paul-de-Courtonne,14194,Courtonne-les-Deux-Églises
16265,Porcheresse,16046,Blanzac-Porcheresse
17169,La Frédière,17344,Saint-Hilaire-de-Villefranche
20046,Cagnano,2B046,Cagnano
20078,Castellare-di-Mercurio,2B078,Castellare-di-Mercurio
20120,Furiani,2B120,Furiani
20121,Galéria,2B121,Galéria
20338,Valle-d'Orezza,2B338,Valle-d'Orezza
20365,San-Gavino-di-Fiumorbo,2B365,San-Gavino-di-Fiumorbo
22179,Fréhel,22179,Fréhel
28165,Frétigny,28331,Saintigny
35074,Chaumeré,35096,Domagné
47223,Rives,47223,Rives
